sample_id,job_id,status,draft_text_path,draft_chars
00100016003_20260226_1416000900_215,3a9300b8-264f-48f1-ac20-84ed7bfedb72,completed,data\bakeoff\references_draft\00100016003_20260226_1416000900_215.txt,0
00100001001_20260226_1416000896_200,d6b474ce-6a11-4799-8c80-a5d421d526b1,completed,data\bakeoff\references_draft\00100001001_20260226_1416000896_200.txt,0
00100001001_20260226_1403000819_200,b9eb4078-6347-4581-b2f0-4b52e7e691c8,completed,data\bakeoff\references_draft\00100001001_20260226_1403000819_200.txt,39
00100004000_20260226_1057350073_203,2b415e82-7231-4980-b1fc-57051ec6b851,completed,data\bakeoff\references_draft\00100004000_20260226_1057350073_203.txt,40
00100007000_20260226_0949590955_206,5bd630d4-e9e6-4f69-9554-96212fe4b437,completed,data\bakeoff\references_draft\00100007000_20260226_0949590955_206.txt,40
00100002000_20260226_1423050824_201,2fc1d10a-6977-4acd-a6eb-d5e7d30597ec,completed,data\bakeoff\references_draft\00100002000_20260226_1423050824_201.txt,94
00100004000_20260226_1423050818_203,cf6af8c6-63dd-44aa-848c-4420c9fb4324,completed,data\bakeoff\references_draft\00100004000_20260226_1423050818_203.txt,94
00100002000_20260226_1444350470_201,6b625d2a-2ee4-4f67-9ce7-8016ce2ba9c7,completed,data\bakeoff\references_draft\00100002000_20260226_1444350470_201.txt,76
00100002000_20260227_0957000407_201,f4de064c-f736-4eb7-b5b7-4a55f6e6da49,completed,data\bakeoff\references_draft\00100002000_20260227_0957000407_201.txt,70
00100016003_20260227_0957000392_215,b4e76388-a4d2-4f9c-bd91-47600b3eadaf,completed,data\bakeoff\references_draft\00100016003_20260227_0957000392_215.txt,70
